modelo,repeticao,pergunta,edital,tema,item_esperado,configuracao,status,valores_esperados,erro_conferencia,correta,referenciada,correta_com_referencia,item_recuperado,citou_item,tokens_entrada,latencia_ms,resposta
Claude Sonnet 5,1,q01-agr,Agricultura Familiar para ICTs 2026,valores,4.1,Configuração híbrida,answered,true,,true,true,true,true,true,10259,4649,"O valor total de recursos previstos para esta Chamada Pública é de até R$ 150.000.000,00 (cento e cinquenta milhões de reais), provenientes do Fundo Nacional de Desenvolvimento Científico e Tecnológico (FNDCT) [c_60d337]. Esse total está distribuído entre as Linhas Temáticas (item 4.1) [c_60d337]: - Linha Temática 1: R$ 50.000.000,00 [c_60d337] - Linha Temática 2: R$ 50.000.000,00 [c_60d337] - Linha Temática 3: R$ 25.000.000,00 [c_60d337] - Linha Temática 4: R$ 25.000.000,00 [c_60d337] Não havendo demanda qualificada suficiente em alguma Linha Temática, os valores poderão ser realocados entre as linhas, respeitados os critérios de ranqueamento do edital (item 4.2) [c_60d337]."
Claude Sonnet 5,1,q01-agr,Agricultura Familiar para ICTs 2026,valores,4.1,Configuração com busca adicional,answered,true,,true,true,true,true,true,20323,9904,"O valor total de recursos previsto para esta Chamada Pública é de até R$ 150.000.000,00 (cento e cinquenta milhões de reais), provenientes do Fundo Nacional de Desenvolvimento Científico e Tecnológico (FNDCT) [c_60d337]. Esse montante está dividido nas seguintes Linhas Temáticas (item 4.1) [c_60d337]: - Linha Temática 1: R$ 50.000.000,00 [c_60d337] - Linha Temática 2: R$ 50.000.000,00 [c_60d337] - Linha Temática 3: R$ 25.000.000,00 [c_60d337] - Linha Temática 4: R$ 25.000.000,00 [c_60d337]"
Claude Sonnet 5,1,q02-reg,Subvenção Regional,valores,8.1,Doc. inteiro,answered,true,,true,true,true,true,true,22106,3698,"O valor máximo que pode ser solicitado à Finep/FNDCT em cada proposta é R$ 5.000.000,00 (cinco milhões de reais), sendo o mínimo de R$ 2.000.000,00 (dois milhões de reais) [sec-d2-8.1]. As propostas que não observarem esses limites serão inabilitadas [sec-d2-8.3]."
Claude Sonnet 5,1,q02-reg,Subvenção Regional,valores,8.1,RAG vetorial,answered,true,,true,true,true,true,true,10603,3254,"O valor máximo que pode ser solicitado à Finep/FNDCT em cada proposta é R$ 5.000.000,00 (cinco milhões de reais), sendo o mínimo de R$ 2.000.000,00 (dois milhões de reais) [c_dcd497]. Item 8.1 também informa que as propostas que não observarem esses limites quanto ao valor solicitado serão inabilitadas [c_dcd497]."
Claude Sonnet 5,1,q02-reg,Subvenção Regional,valores,8.1,Configuração híbrida,answered,true,,true,true,true,true,true,10389,4370,"O valor máximo que pode ser solicitado à Finep/FNDCT por proposta é de R$ 5.000.000,00 (cinco milhões de reais), sendo o mínimo de R$ 2.000.000,00 (dois milhões de reais) [c_3f5084]. Propostas que não observarem esses limites serão inabilitadas (item 8.1/8.3) [c_3f5084]."
Claude Sonnet 5,1,q02-reg,Subvenção Regional,valores,8.1,Configuração com busca adicional,answered,true,,true,true,true,true,true,10562,4160,"O valor máximo que pode ser solicitado à Finep/FNDCT em cada proposta é de R$ 5.000.000,00 (cinco milhões de reais), sendo o mínimo de R$ 2.000.000,00 (dois milhões de reais) — item 8.1 [c_3f5084]. Propostas que não observarem esses limites serão inabilitadas (item 8.1) [c_3f5084]."
Claude Sonnet 5,1,q02-tec,MIB R2 — Tecnologias Digitais,valores,5,Doc. inteiro,answered,true,,true,true,true,true,true,25810,3518,"O valor máximo depende do formato de arranjo da proposta: - **Arranjo Simples**: entre o mínimo de R$ 5 milhões e o máximo de R$ 25.000.000,00 (vinte e cinco milhões de reais) [sec-d2-5]. - **Arranjo em Rede**: entre o mínimo de R$ 5 milhões e o máximo de R$ 40.000.000,00 (quarenta milhões de reais) [sec-d2-5]. Além disso, as propostas que não observarem esses limites serão inabilitadas [sec-d1-4.2.2]."
Claude Sonnet 5,1,q02-tec,MIB R2 — Tecnologias Digitais,valores,5,RAG vetorial,answered,true,,true,true,true,true,true,7694,3937,"O valor máximo depende do formato de arranjo, conforme item 5 do Anexo 1 [c_3ad074]: - **Arranjo Simples**: máximo de R$ 25.000.000,00 (vinte e cinco milhões de reais) [c_3ad074] - **Arranjo em Rede**: máximo de R$ 40.000.000,00 (quarenta milhões de reais) [c_3ad074] Em ambos os casos, o mínimo é R$ 5 milhões [c_3ad074]. Propostas que não observarem esses limites serão inabilitadas [c_79e5c0]."
Claude Sonnet 5,1,q02-tec,MIB R2 — Tecnologias Digitais,valores,5,Configuração híbrida,answered,true,,true,true,true,true,true,12054,4095,"O valor máximo depende do arranjo escolhido (item 5 do Anexo 1): - **Arranjo Simples**: mínimo de R$ 5 milhões e máximo de **R$ 25.000.000,00 (vinte e cinco milhões de reais)** [c_9e83d8]. - **Arranjo em Rede**: mínimo de R$ 5 milhões e máximo de **R$ 40.000.000,00 (quarenta milhões de reais)** [c_9e83d8]. O edital reforça que esses limites (mínimo e máximo) são definidos no item 5 do Anexo 1 [c_79e5c0] e que propostas fora desses limites serão inabilitadas [c_79e5c0]."
Claude Sonnet 5,1,q02-tec,MIB R2 — Tecnologias Digitais,valores,5,Configuração com busca adicional,answered,true,,true,true,true,true,true,12226,3758,"O valor máximo depende do formato de arranjo escolhido (item 5 do Anexo 1) [c_9e83d8]: - **Arranjo Simples**: máximo de R$ 25.000.000,00 (vinte e cinco milhões de reais) [c_9e83d8]. - **Arranjo em Rede**: máximo de R$ 40.000.000,00 (quarenta milhões de reais) [c_9e83d8]. Em ambos os casos, o mínimo é de R$ 5 milhões [c_9e83d8]. Propostas que não observarem esses limites serão inabilitadas [c_79e5c0]."
Claude Sonnet 5,1,q02-agr,Agricultura Familiar para ICTs 2026,valores,7.1,Doc. inteiro,answered,true,,true,true,true,true,true,29029,4880,"O valor máximo que pode ser solicitado à Finep por proposta é de **R$ 7.000.000,00 (sete milhões de reais)**, sendo o mínimo de R$ 3.000.000,00 (três milhões de reais), exclusivamente para o desenvolvimento do projeto [sec-d1-7.1]. Propostas que não observarem esses limites serão eliminadas [sec-d1-7.2]."
Claude Sonnet 5,1,q02-agr,Agricultura Familiar para ICTs 2026,valores,7.1,RAG vetorial,answered,true,,true,true,true,true,true,7894,3127,"O valor solicitado à Finep deverá ser de, no máximo, R$ 7.000.000,00 (sete milhões de reais) por proposta, com valor mínimo de R$3.000.000,00 (três milhões de reais) [c_59c64f]. Propostas que não observarem esses limites serão eliminadas (item 7.2) [c_59c64f]."
Claude Sonnet 5,1,q02-agr,Agricultura Familiar para ICTs 2026,valores,7.1,Configuração híbrida,answered,true,,true,true,true,true,true,10739,4422,"O valor máximo que pode ser solicitado à Finep por proposta é R$ 7.000.000,00 (sete milhões de reais), sendo o mínimo de R$3.000.000,00 (três milhões de reais) [c_7de105]. Vale destacar que esse valor é exclusivamente para o desenvolvimento do projeto, e propostas fora desses limites serão eliminadas (item 7.1 e 7.2) [c_7de105]."
Claude Sonnet 5,1,q02-agr,Agricultura Familiar para ICTs 2026,valores,7.1,Configuração com busca adicional,answered,true,,true,true,true,true,true,10912,3670,"O valor solicitado à Finep/FNDCT deverá ser de, no máximo, R$ 7.000.000,00 (sete milhões de reais) por proposta, exclusivamente para o desenvolvimento do projeto (item 7.1) [c_7de105]. O mínimo é R$3.000.000,00 (três milhões de reais) [c_7de105]. Propostas fora desses limites (mínimo e máximo) serão eliminadas (item 7.2) [c_7de105]."
Claude Sonnet 5,1,q03-reg,Subvenção Regional,valores,9.5,Doc. inteiro,answered,true,inexistente,false,true,false,true,true,22113,9451,"# Contrapartida exigida O apoio da Finep implica, necessariamente, o aporte de contrapartida financeira no projeto [sec-d2-9.1]. ## Percentuais mínimos (sobre o valor total da proposta) Os percentuais são definidos conforme o porte da empresa (apurado pelo maior faturamento entre as empresas integrantes da proposta ou de grupo econômico) [sec-d2-9.5] [sec-d2-9.2.1]: | Porte | Receita Operacional Bruta | % Mínimo | |---|---|---| | Microempresa e Empresa de Pequeno Porte | Inferior a R$ 4.800.000,00 | 5,00% | | Pequena Empresa | De R$ 4.800.000,01 a R$ 16.000.000,00 | 10,00% | | Média Empresa I | De R$ 16.000.000,01 a R$ 90.000.000,00 | 20,00% | [sec-d2-9.5] ## Como pode ser integralizada - **Forma:** exclusivamente financeira (o edital fala em ""contrapartida financeira"" em todos os dispositivos) [sec-d2-9.1] [sec-d2-9.5]. - **Quem aporta:** pode ser aportada pela proponente e/ou pela(s) coexecutora(s), não sendo obrigatório que todas as empresas da proposta contribuam [sec-d2-9.2.2]. - **Momento/depósito:** previamente à liberação de cada parcela, é obrigatório o depósito dos recursos da parcela de contrapartida em conta corrente exclusiva para movimentação desses recursos [sec-d2-9"
Claude Sonnet 5,1,q03-reg,Subvenção Regional,valores,9.5,RAG vetorial,answered,true,,true,true,true,true,true,10031,10664,"# Contrapartida financeira exigida ## Percentual mínimo (conforme porte) O percentual mínimo é calculado sobre o valor total da proposta e varia conforme o porte da empresa [c_d01218] (item 9.5): | Classificação por Porte | Receita Operacional Bruta | Percentual Mínimo | |---|---|---| | Microempresa e Empresa de Pequeno Porte | Inferior a R$ 4.800.000,00 | 5,00% | | Pequena Empresa | De R$ 4.800.000,01 a R$ 16.000.000,00 | 10,00% | | Média Empresa I | De R$ 16.000.000,01 a R$ 90.000.000,00 | 20,00% | [c_d01218] **No caso de propostas com coexecutora(s):** o enquadramento de porte considera o faturamento da empresa de maior porte no exercício de 2025 (ou o mais recente disponível), e a apuração do percentual é feita com base no maior faturamento entre as empresas integrantes da proposta ou de grupo econômico [c_d01218] (itens 9.2 e 9.2.1). ## Quem pode aportar A contrapartida poderá ser aportada pela proponente e/ou coexecutora(s), não sendo obrigatório que todas as empresas da proposta realizem o aporte [c_d01218] (item 9.2.2). ## Formas de integralização/comprovação - **Depósito prévio:** previamente à liberação de cada parcela, é obrigatório o depósito dos recursos da parcela de "
Claude Sonnet 5,1,q03-reg,Subvenção Regional,valores,9.5,Configuração híbrida,answered,true,,true,true,true,true,true,10592,11537,"# Contrapartida financeira ## Percentuais mínimos (conforme porte da empresa) O apoio da Finep implica, necessariamente, o aporte de contrapartida financeira no projeto [c_d01218]. Os percentuais mínimos obrigatórios, calculados sobre o **valor total da proposta**, são [c_d01218]: | Porte | Receita Operacional Bruta | Contrapartida mínima | |---|---|---| | Microempresa e Empresa de Pequeno Porte | Inferior a R$ 4.800.000,00 | 5,00% | | Pequena Empresa | De R$ 4.800.000,01 a R$ 16.000.000,00 | 10,00% | | Média Empresa I | De R$ 16.000.000,01 a R$ 90.000.000,00 | 20,00% | [c_d01218] O **valor total da proposta** corresponde ao somatório do valor solicitado à Finep com o valor da contrapartida a ser aportada pelas beneficiárias [c_e867c8]. ## Enquadramento em caso de coexecutora(s) Se houver empresa(s) coexecutora(s), o enquadramento do porte considera o faturamento da empresa de maior porte no exercício de 2025 (ou o mais recente disponível) [c_d01218]. A apuração do percentual será feita com base no maior faturamento entre as empresas integrantes da proposta ou de grupo econômico ao qual pertençam [c_d01218]. ## Quem pode aportar A contrapartida poderá ser aportada pela proponente e"
Claude Sonnet 5,1,q03-reg,Subvenção Regional,valores,9.5,Configuração com busca adicional,answered,true,,true,true,true,true,true,10766,10862,"**Percentuais mínimos de contrapartida financeira** (calculados sobre o valor total da proposta, conforme porte da empresa) [c_d01218]: | Porte | Receita Operacional Bruta | % Mínimo | |---|---|---| | Microempresa e Empresa de Pequeno Porte | Inferior a R$ 4.800.000,00 | 5,00% | | Pequena Empresa | De R$ 4.800.000,01 a R$ 16.000.000,00 | 10,00% | | Média Empresa I | De R$ 16.000.000,01 a R$ 90.000.000,00 | 20,00% | [c_d01218] Observações sobre o enquadramento: - No caso de propostas com coexecutora(s), o porte é definido pelo **maior faturamento** entre as empresas integrantes (exercício de 2025, ou o mais recente disponível) [c_d01218]. - Se a empresa integrar grupo econômico, a apuração considera o maior faturamento entre as empresas do grupo [c_d01218]. - A contrapartida pode ser aportada pela proponente e/ou pela(s) coexecutora(s), não sendo obrigatório que todas as empresas da proposta contribuam [c_d01218]. **Formas de integralização**: - É **vedado** usar como contrapartida recursos de investimento em P&D oriundos de contratos de concessão de serviços públicos, regulações setoriais ou quaisquer outros recursos não reembolsáveis [c_d01218]. - Antes da liberação de cada parcel"
Claude Sonnet 5,1,q03-tec,MIB R2 — Tecnologias Digitais,valores,6,Doc. inteiro,answered,true,,true,true,true,true,true,25817,10406,"# Contrapartida Financeira ## Percentual exigido O aporte de contrapartida financeira é **obrigatório** [sec-d1-4.5.1]. O percentual mínimo varia conforme o **porte da empresa/grupo econômico de maior faturamento** [sec-d1-4.5.1] e o **tipo de arranjo** da proposta [sec-d2-6]: | Porte | Receita Operacional Bruta | Arranjo Simples | Arranjo em Rede | |---|---|---|---| | Microempresa e Empresa de Pequeno Porte | Inferior a R$ 4.800.000,00 | 5,0% | — | | Pequena Empresa | De R$ 4.800.000,00 a R$ 16.000.000,00 | 10,0% | — | | Média Empresa I | De R$ 16.000.000,01 a R$ 90.000.000,00 | 30,0% | 15,0% | | Média Empresa II | De R$ 90.000.000,01 a R$ 300.000.000,00 | 40,0% | 20,0% | | Grande Empresa | Acima de R$ 300.000.000,01 | 50,0% | 25,0% | [sec-d2-6] **Observações sobre a apuração do porte:** - No caso de parceria com coexecutora(s), considera-se o faturamento da empresa de maior porte no exercício anterior [sec-d1-4.5.1]. - A apuração do percentual será feita com base no maior faturamento entre as empresas integrantes da proposta ou do grupo econômico ao qual pertençam [sec-d1-4.5.1]. - A capacidade financeira para aporte de contrapartida será objeto de apreciação (conforme item 7.1.7"
Claude Sonnet 5,1,q03-tec,MIB R2 — Tecnologias Digitais,valores,6,RAG vetorial,answered,true,,true,false,false,true,true,9129,14565,"# Percentual mínimo de contrapartida financeira O aporte de contrapartida financeira é obrigatório [c_f361a1]. Os percentuais mínimos variam conforme o porte da empresa e o tipo de arranjo: **Arranjo Simples:** - Microempresa e Empresa de Pequeno Porte (Receita Operacional Bruta inferior a R$ 4.800.000,00): 5,0% [c_f361a1] - Pequena Empresa (De R$ 4.800.000,00 a R$ 16.000.000,00): 10,0% [c_f361a1] - Média Empresa I (De R$ 16.000.000,01 a R$ 90.000.000,00): 30,0% [c_f361a1] - Média Empresa II (De R$ 90.000.000,01 a R$ 300.000.000,00): 40,0% [c_f361a1] - Grande Empresa (Acima de R$ 300.000.000,01): 50,0% [c_f361a1] **Arranjo em Rede** (percentuais informados apenas a partir de Média Empresa I na tabela): - Média Empresa I: 15,0% [c_f361a1] - Média Empresa II: 20,0% [c_f361a1] - Grande Empresa: 25,0% [c_f361a1] Para Microempresa/EPP e Pequena Empresa no Arranjo em Rede, o percentual não consta na tabela fornecida [c_f361a1]. # Regras de enquadramento e apuração - No caso de propostas com coexecutora(s), deve-se considerar o faturamento da empresa de maior porte no exercício anterior para fins de enquadramento do porte (item 4.5.1, ""a"") [c_687d3b]. - A apuração do percentual será feita"
Claude Sonnet 5,1,q03-tec,MIB R2 — Tecnologias Digitais,valores,6,Configuração híbrida,answered,true,,true,true,true,true,true,23315,28496,"# Contrapartida Financeira — Percentual e Formas de Integralização ## 1. Obrigatoriedade e base de cálculo O aporte de Contrapartida Financeira é obrigatório sempre que houver apoio da Finep via Subvenção Econômica não-reembolsável [c_687d3b] [c_be1c04]. O percentual mínimo é calculado com base no maior faturamento entre as empresas integrantes da proposta (ou do grupo econômico a que pertençam) [c_687d3b]. ## 2. Percentuais mínimos exigidos Os percentuais variam conforme o porte da empresa e o tipo de arranjo (Simples ou em Rede) [c_ae491b]: | Porte | Receita Operacional Bruta* | Arranjo Simples | Arranjo em Rede | |---|---|---|---| | Microempresa e Empresa de Pequeno Porte | Inferior a R$ 4.800.000,00 | 5,0% | — | | Pequena Empresa | De R$ 4.800.000,00 a R$ 16.000.000,00 | 10,0% | — | | Média Empresa I | De R$ 16.000.000,01 a R$ 90.000.000,00 | 30,0% | 15,0% | | Média Empresa II | De R$ 90.000.000,01 a R$ 300.000.000,00 | 40,0% | 20,0% | | Grande Empresa | Acima de R$ 300.000.000,01 | 50,0% | 25,0% | [c_ae491b] **Observação:** para arranjo em rede, as células de Microempresa/EPP e Pequena Empresa não constam preenchidas na tabela fornecida [c_ae491b]. ## 3. Quem pode aportar A co"
Claude Sonnet 5,1,q03-tec,MIB R2 — Tecnologias Digitais,valores,6,Configuração com busca adicional,answered,true,,true,true,true,true,true,11550,9511,"# Contrapartida Financeira ## Percentual exigido O aporte de contrapartida financeira é **obrigatório** [c_ae491b] [c_687d3b]. O percentual mínimo varia conforme o porte da empresa/grupo econômico de maior faturamento e o arranjo da proposta (item 6 do Anexo 1) [c_ae491b]: | Porte | Receita Operacional Bruta | Arranjo Simples | Arranjo em Rede | |---|---|---|---| | Microempresa e Empresa de Pequeno Porte | Inferior a R$ 4.800.000,00 | 5,0% | — | | Pequena Empresa | De R$ 4.800.000,00 a R$ 16.000.000,00 | 10,0% | — | | Média Empresa I | De R$ 16.000.000,01 a R$ 90.000.000,00 | 30,0% | 15,0% | | Média Empresa II | De R$ 90.000.000,01 a R$ 300.000.000,00 | 40,0% | 20,0% | | Grande Empresa | Acima de R$ 300.000.000,01 | 50,0% | 25,0% | [c_ae491b] **Regras de apuração do porte:** - Se houver coexecutora(s), considera-se o faturamento da empresa de maior porte no exercício anterior [c_687d3b]. - O percentual é apurado com base no maior faturamento das empresas integrantes da proposta ou do grupo econômico que eventualmente integrem [c_687d3b]. - A capacidade financeira para aporte de contrapartida será objeto de apreciação (conforme item 7.1.7 e seguintes) e pode ensejar inabilitação da "
Claude Sonnet 5,1,q03-agr,Agricultura Familiar para ICTs 2026,valores,8,Doc. inteiro,answered,true,,true,true,true,true,true,29033,11102,"# Contrapartida financeira **Quando é exigida:** apenas para propostas apresentadas por convenente estadual, municipal ou do Distrito Federal, obrigatória sob pena de eliminação da proposta [sec-d1-7.3]. Propostas de ICT federal ou de instituição privada sem fins lucrativos, na qualidade de convenente, são isentas de contrapartida [sec-d1-8.5]. ## Percentuais exigidos (LDO 2026) **Instituições Municipais** [sec-d1-8.2]: - Municípios com até 50.000 habitantes: 0,1% a 4% [sec-d1-8.2.1] - Municípios acima de 50.000 habitantes nas áreas prioritárias da PNDR/SUDENE/SUDAM/SUDECO: 0,2% a 8% [sec-d1-8.2.2] - Municípios com até 200.000 habitantes em áreas vulneráveis a eventos extremos (secas, deslizamentos, inundações), conforme lista do MCTI: 0,1% a 5% [sec-d1-8.2.3] - Municípios com até 200.000 habitantes em região costeira/estuário com risco por elevação do nível do mar ou eventos meteorológicos extremos, conforme lista do MMA: 0,1% a 5% [sec-d1-8.2.4] - Demais Municípios: 1% a 20% [sec-d1-8.2.5] **Instituições Estaduais e do Distrito Federal** [sec-d1-8.3]: - Localizados nas áreas prioritárias da PNDR/SUDENE/SUDAM/SUDECO: 0,1% a 10% [sec-d1-8.3.1] - Demais Estados: 2% a 20% [sec-d1-8.3"
